Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
at_0	cds	69009	69764	+	BIPKFD_00355	fliR	Flagellar biosynthetic protein FliR	COG:COG1684, COG:N, RefSeq:WP_003493910.1, SO:0001217, UniParc:UPI000216F9E4, UniRef:UniRef100_F7U4Y4, UniRef:UniRef50_C3MG49, UniRef:UniRef90_A9CK62
at_0	cds	69780	70199	+	BIPKFD_00360		hypothetical protein	RefSeq:WP_082183729.1, SO:0001217, UniParc:UPI0009D594F3, UniRef:UniRef100_A0A357X9D0, UniRef:UniRef50_A0A0T6ZJT8, UniRef:UniRef90_A0A3D5IMC6
at_0	cds	70313	70870	+	BIPKFD_00365		Peptidoglycan hydrolase flgJ	RefSeq:WP_003493914.1, SO:0001217, UniParc:UPI000216F9E6, UniRef:UniRef100_F7U4Y6, UniRef:UniRef50_A0A083ZPL2, UniRef:UniRef90_A0A083ZPL2
at_0	cds	70900	71268	+	BIPKFD_00370		hypothetical protein	RefSeq:WP_003493916.1, SO:0001217, UniParc:UPI000216F9E7, UniRef:UniRef100_A0A024J309, UniRef:UniRef50_A0A1B3M837, UniRef:UniRef90_M8AGI3
at_0	cds	71268	71810	+	BIPKFD_00375		Membrane protein	RefSeq:WP_003493918.1, SO:0001217, UniParc:UPI000216F9E8, UniRef:UniRef100_F7U4Y8, UniRef:UniRef50_B5ZQG8, UniRef:UniRef90_A0A1B9U7H7
at_0	cds	72016	72690	+	BIPKFD_00380		Teichoic acid biosynthesis protein	RefSeq:WP_082183731.1, SO:0001217, UniParc:UPI0009CBEAC5, UniRef:UniRef100_A0A7L5BGN3, UniRef:UniRef50_A0A083ZPL5, UniRef:UniRef90_F7U4Y9
at_0	cds	72805	74592	+	BIPKFD_00385		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A4U1KI46, UniRef:UniRef90_F7U4Z0
at_0	cds	74670	75569	+	BIPKFD_00390	folD	Bifunctional protein FolD	COG:COG0190, COG:H, GO:0000105, GO:0004477, GO:0004488, GO:0006164, GO:0009086, GO:0035999, SO:0001217, UniRef:UniRef50_A1URL6, UniRef:UniRef90_Q8UHU0
at_0	cds	75835	76878	-	BIPKFD_00395	purR	LacI family transcriptional regulator	COG:COG1609, COG:K, SO:0001217, UniParc:UPI0009D2E674, UniRef:UniRef100_A0A1S7QWC6, UniRef:UniRef50_A0A1B9U7F5, UniRef:UniRef90_A0A1B9U7F5
at_0	cds	77136	78497	+	BIPKFD_00400		Alpha-glucosides-binding periplasmic protein AglE	SO:0001217, UniRef:UniRef50_Q9Z3R5
at_0	cds	78603	79616	+	BIPKFD_00405		Alpha-glucoside transport system permease protein AglF	SO:0001217, UniRef:UniRef50_Q9Z3R6
at_0	cds	79618	80778	+	BIPKFD_00410	ugpE	ABC transporter, membrane spanning protein	COG:COG0395, COG:G, SO:0001217, UniRef:UniRef50_A0A0D6TBI4, UniRef:UniRef90_A0A1B9U7G6
at_0	cds	80816	82471	+	BIPKFD_00415	amyA	Oligo-1,6-glucosidase	COG:COG0366, COG:G, SO:0001217, UniRef:UniRef50_A0A4Z1QZX2, UniRef:UniRef90_A0A1R3TD19
at_0	cds	82492	83580	+	BIPKFD_00420	malK	Maltose/maltodextrin import ATP-binding protein MalK	COG:COG3839, COG:G, SO:0001217, UniRef:UniRef50_Q9Z3R9, UniRef:UniRef90_A0A083ZPM3
at_0	cds	83765	84178	+	BIPKFD_00425		hypothetical protein	SO:0001217, UniRef:UniRef50_C3MGJ8, UniRef:UniRef90_A0A1B9T308
at_0	cds	84320	85684	-	BIPKFD_00430		Metallophos domain-containing protein	SO:0001217, UniRef:UniRef50_U4PQR5, UniRef:UniRef90_M8BA55
at_0	cds	85899	87719	-	BIPKFD_00435	edd	Phosphogluconate dehydratase	COG:COG0129, COG:EG, SO:0001217, UniRef:UniRef50_P0ADF7, UniRef:UniRef90_A0A6V6ZSV7
at_0	cds	87830	88537	-	BIPKFD_00440		6-phosphogluconolactonase	SO:0001217, UniParc:UPI000216F9F6, UniRef:UniRef100_F7U502, UniRef:UniRef90_F0L6F7
at_0	cds	88540	90048	-	BIPKFD_00445	zwf	Glucose-6-phosphate 1-dehydrogenase	COG:COG0364, COG:G, SO:0001217, UniRef:UniRef50_A0QP90, UniRef:UniRef90_A0A1R3TMH3
at_0	cds	90152	91438	-	BIPKFD_00450		Putative oxidoreductase OrdL	SO:0001217, UniRef:UniRef50_E6YU13, UniRef:UniRef90_A0A1S7Q9W0
at_0	cds	91451	92842	-	BIPKFD_00455	glnA	Gamma-glutamylputrescine synthetase PuuA	COG:COG0174, COG:E, SO:0001217, UniRef:UniRef50_A6U681, UniRef:UniRef90_A0A083ZPN0
at_0	cds	93011	94195	+	BIPKFD_00460	yhiN	Aminoacetone oxidase family FAD-binding enzyme	COG:COG2081, COG:R, SO:0001217, UniRef:UniRef50_A0A0D6JAN5, UniRef:UniRef90_A0A7I0RD71
at_0	cds	94505	94852	-	BIPKFD_00465		hypothetical protein	RefSeq:WP_167373891.1, SO:0001217, UniParc:UPI0009C79F2A, UniRef:UniRef100_A0A7L5BKR2, UniRef:UniRef50_A0A178H7H7, UniRef:UniRef90_F7U507
at_0	cds	94936	95808	+	BIPKFD_00470	lysR	Transcriptional regulator	COG:COG0583, COG:K, SO:0001217, UniRef:UniRef50_A0A2U8FYE2, UniRef:UniRef90_U4Q4P3
at_0	cds	95817	96074	-	BIPKFD_00475		hypothetical protein	RefSeq:WP_003493954.1, SO:0001217, UniParc:UPI00001644EF, UniRef:UniRef100_A0A024J2B7, UniRef:UniRef50_N6V2F7, UniRef:UniRef90_A0A024J2B7
at_0	cds	96159	97448	-	BIPKFD_00480	aceA	Isocitrase	COG:C, COG:COG2224, SO:0001217, UniRef:UniRef50_P42449, UniRef:UniRef90_C0REP2
at_0	cds	97703	99118	+	BIPKFD_00485		HTH-type transcriptional regulator RamB	COG:COG3800, COG:R, RefSeq:WP_003493956.1, SO:0001217, UniParc:UPI000216F9FE, UniRef:UniRef100_F7U511, UniRef:UniRef50_N6U4N1, UniRef:UniRef90_A0A083ZPN6
at_0	cds	99271	100368	+	BIPKFD_00490		Putrescine-binding periplasmic protein	RefSeq:WP_003493957.1, SO:0001217, UniParc:UPI000216F9FF, UniRef:UniRef100_F7U512, UniRef:UniRef50_A0A3S4F6Y7, UniRef:UniRef90_A0A1B9UD76
at_0	cds	100504	101661	+	BIPKFD_00495	potA	Spermidine/putrescine import ATP-binding protein PotA	COG:COG3842, COG:E, SO:0001217, UniRef:UniRef50_B6JC30, UniRef:UniRef90_A0A083ZPN8
at_0	cds	101673	102581	+	BIPKFD_00500	potB	Putrescine transport system permease protein	COG:COG1176, COG:E, RefSeq:WP_003493959.1, SO:0001217, UniParc:UPI000216FB35, UniRef:UniRef100_F7U514, UniRef:UniRef50_A0A376ABT4, UniRef:UniRef90_A0A3G2DGB6
at_0	cds	102586	103398	+	BIPKFD_00505	potC	Putrescine ABC transporter permease PotI	COG:COG1177, COG:E, RefSeq:WP_003493960.1, SO:0001217, UniParc:UPI000216FB36, UniRef:UniRef100_F7U515, UniRef:UniRef50_F8J7Z2, UniRef:UniRef90_A0A1B9UD51
at_0	cds	103710	105332	-	BIPKFD_00510	fbpB	Iron(III) transport system permease protein	COG:COG1178, COG:P, SO:0001217, UniRef:UniRef50_A0A1U9Z0T1, UniRef:UniRef90_A0A3G2DFK4
at_0	cds	105453	109271	-	BIPKFD_00515		Histidine kinase	SO:0001217, UniRef:UniRef50_W0I8X8, UniRef:UniRef90_A0A024J3H1
at_0	tRNA	109624	109700	+	BIPKFD_00520	His_trna	tRNA-His	SO:0000262
at_0	cds	109919	111550	+	BIPKFD_00525	gppA	Exopolyphosphatase	COG:COG0248, COG:FT, SO:0001217, UniRef:UniRef50_Q2KC37, UniRef:UniRef90_A0A0F4FZG1
at_0	cds	111547	112287	+	BIPKFD_00530	rlmE	Ribosomal RNA large subunit methyltransferase E	COG:COG0293, COG:J, EC:2.1.1.166, GO:0005737, GO:0008650, SO:0001217, UniRef:UniRef50_Q8UHR0, UniRef:UniRef90_Q8UHR0
at_0	cds	112288	113685	-	BIPKFD_00535	araJ	MFS permease	COG:COG2814, COG:G, RefSeq:WP_035218821.1, SO:0001217, UniParc:UPI000459BA01, UniRef:UniRef100_A0A024IQZ9, UniRef:UniRef50_M5EQK9, UniRef:UniRef90_A9CK48
at_0	cds	113893	114897	+	BIPKFD_00540	gloB	Zn-dependent hydrolase, glyoxylase	COG:COG0491, COG:R, SO:0001217, UniRef:UniRef50_A0A1R3TGJ5, UniRef:UniRef90_U4PQW4
at_0	cds	115077	116582	+	BIPKFD_00545	guaB	Inosine-5'-monophosphate dehydrogenase	COG:COG2524, COG:K, RefSeq:WP_035241640.1, SO:0001217, UniParc:UPI000550308A, UniRef:UniRef100_A0A7H0J4E6, UniRef:UniRef50_Q9KH33, UniRef:UniRef90_A0A1R3TMK7
