,strain,treatment,cosm,name,contig,start,end,length
27,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,211830,213991,2161
28,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,0,1827,1827
29,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,2004,2005,1
30,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,2007,2009,2
31,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,2849,2851,2
32,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,4645,4646,1
33,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,4831,4832,1
34,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,5222,5223,1
35,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,6100,6101,1
36,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,7944,7945,1
37,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,8779,8780,1
38,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,8862,8863,1
39,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,8928,8929,1
40,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,10284,10285,1
41,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,10308,10309,1
42,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,10446,10447,1
43,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,10639,10640,1
44,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,10889,10890,1
45,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,11000,11003,3
46,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,11694,11695,1
47,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,11702,11703,1
48,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,11868,11870,2
49,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,11883,11884,1
50,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,11886,11887,1
51,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,12795,12796,1
52,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,14237,14238,1
53,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,14858,14859,1
54,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,14862,14863,1
55,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,15800,15801,1
56,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,15864,15865,1
57,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,16029,16030,1
58,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,16112,16113,1
59,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,16552,16553,1
60,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,17316,17317,1
61,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,19043,19044,1
62,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,19071,19072,1
63,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,19112,19113,1
64,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,19320,19321,1
65,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,19554,19555,1
66,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,54907,54908,1
67,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,55164,55165,1
68,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,55174,55175,1
69,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,55376,55377,1
70,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,55471,55472,1
71,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,56089,56090,1
72,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,59234,59235,1
73,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,62920,62921,1
74,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,86489,86490,1
75,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,88998,88999,1
76,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,89239,89240,1
77,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,89257,89258,1
78,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,89315,89316,1
79,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,89861,89862,1
80,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,89990,89991,1
81,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,90041,90042,1
82,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,90279,90280,1
83,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,90417,90418,1
84,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,90745,90746,1
85,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,91684,91685,1
86,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,91838,91839,1
87,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,98294,98295,1
88,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,100771,100772,1
89,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,103191,103192,1
90,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,115263,115264,1
91,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,116307,116308,1
92,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,116372,116373,1
93,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,116430,116431,1
94,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,125161,125162,1
95,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,175813,175814,1
96,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,176357,176358,1
97,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,215729,215730,1
98,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,215895,215896,1
99,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,216360,216361,1
100,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,216700,216701,1
101,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,216872,216873,1
102,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,217498,217500,2
103,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,217801,217802,1
104,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,218657,218658,1
105,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,220575,224717,4142
106,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,224746,224747,1
107,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,224760,224761,1
108,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,224935,224936,1
109,Agrobacterium tumefaciens,1,1,At11.7,tig00000004_polypolish,225222,229503,4281
110,Agrobacterium tumefaciens,1,1,At11.7,tig00000005_polypolish,0,31114,31114
111,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,1,3435,3434
112,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,5081,5085,4
113,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,5211,5212,1
114,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,261913,261914,1
115,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,264233,264234,1
116,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,618755,618756,1
117,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,2536385,2536386,1
118,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,2998692,2998693,1
119,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,2998715,2998717,2
120,Agrobacterium tumefaciens,1,1,At11.8,tig00000001_polypolish,2998734,2999962,1228
121,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,0,2104,2104
122,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,23366,23367,1
123,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,203409,203410,1
124,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,203490,203491,1
125,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,203518,203519,1
126,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,203538,203539,1
127,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204090,204091,1
128,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204316,204317,1
129,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204470,204471,1
130,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204481,204482,1
131,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204661,204662,1
132,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204759,204762,3
133,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,204992,204993,1
134,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,205048,205049,1
135,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,205237,205238,1
136,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,205745,205746,1
137,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,206087,206088,1
138,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,207223,207224,1
139,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,208132,208133,1
140,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,208219,208220,1
141,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,210068,210069,1
142,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,210325,210326,1
143,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,210441,210442,1
144,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,210765,210766,1
145,Agrobacterium tumefaciens,1,1,At11.8,tig00000003_polypolish,211390,213991,2601
146,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,0,2511,2511
147,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,2525,2526,1
148,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,2676,2677,1
149,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,2935,2936,1
150,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,3619,3620,1
151,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,4019,4020,1
152,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,4514,4515,1
153,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,4645,4646,1
154,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,4974,4975,1
155,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,5503,5504,1
156,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,5726,5727,1
157,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,6092,6093,1
158,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,6105,6106,1
159,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,122655,122656,1
160,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,224018,224019,1
161,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,224202,224203,1
162,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,224527,224528,1
163,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,224695,224697,2
164,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,224780,224781,1
165,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,225790,225791,1
166,Agrobacterium tumefaciens,1,1,At11.8,tig00000004_polypolish,225881,229503,3622
167,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,0,9249,9249
168,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,9383,9384,1
169,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,9436,9438,2
170,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,9470,9471,1
171,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,9503,9504,1
172,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,9722,9723,1
173,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,9798,9799,1
174,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,10531,10532,1
175,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,10553,10554,1
176,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,11194,11195,1
177,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,11301,11302,1
178,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,12191,12192,1
179,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,12468,12469,1
180,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,12533,12534,1
181,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,12726,12727,1
182,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,13012,13013,1
183,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,13073,13074,1
184,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,13114,13115,1
185,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,13264,13265,1
186,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,13713,13714,1
187,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,14127,14128,1
188,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,14135,14136,1
189,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,14583,14584,1
190,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,14859,14860,1
191,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,15254,15255,1
192,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,16194,16195,1
193,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,17051,17052,1
194,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,18191,18192,1
195,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,18290,18291,1
196,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,19831,19832,1
197,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,20921,20922,1
198,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,21053,21054,1
199,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,21165,21166,1
200,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,21626,21627,1
201,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,21979,21980,1
202,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,22209,22210,1
203,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,23000,23001,1
204,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,23622,23623,1
205,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,23817,23818,1
206,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,23985,23986,1
207,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,24135,24136,1
208,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,24478,24479,1
209,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,24716,24717,1
210,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,24720,24721,1
211,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,25239,25240,1
212,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,25394,25395,1
213,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,25511,25512,1
214,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,25543,25544,1
215,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,25974,25975,1
216,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,26202,26203,1
217,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,26306,26307,1
218,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,26423,26424,1
219,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,26513,26514,1
220,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,26520,26521,1
221,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,27032,27033,1
222,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,27143,27144,1
223,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,27215,27216,1
224,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,27296,27297,1
225,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,27305,27306,1
226,Agrobacterium tumefaciens,1,1,At11.8,tig00000005_polypolish,27355,31114,3759
227,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,1,1122,1121
228,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,726388,726389,1
229,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,2995962,2995963,1
230,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,2997283,2997284,1
231,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,2997908,2997909,1
232,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,2997941,2997943,2
233,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,2998214,2998215,1
234,Agrobacterium tumefaciens,1,2,At12.1,tig00000001_polypolish,2998385,2999962,1577
235,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,0,3408,3408
236,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,4809,4812,3
237,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,210997,210998,1
238,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,213453,213454,1
239,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,213553,213555,2
240,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,213565,213566,1
241,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,213693,213694,1
242,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,213842,213843,1
243,Agrobacterium tumefaciens,1,2,At12.1,tig00000003_polypolish,213941,213991,50
244,Agrobacterium tumefaciens,1,2,At12.1,tig00000004_polypolish,0,2918,2918
245,Agrobacterium tumefaciens,1,2,At12.1,tig00000004_polypolish,183854,183855,1
246,Agrobacterium tumefaciens,1,2,At12.1,tig00000004_polypolish,225057,229503,4446
247,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,1927,1928,1
248,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,6982,6983,1
249,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,11107,11108,1
250,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,11402,11403,1
251,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,11681,11682,1
252,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,12568,12569,1
253,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,12797,12798,1
254,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,17363,17364,1
255,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,17738,17739,1
256,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,18002,18003,1
257,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,18504,18505,1
258,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,19203,19204,1
259,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,20684,20685,1
260,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,26515,26516,1
261,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,27937,27938,1
262,Agrobacterium tumefaciens,1,2,At12.1,tig00000005_polypolish,28122,28123,1
263,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,1,651,650
264,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,61071,61083,12
265,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,1129182,1129183,1
266,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,1196725,1197891,1166
267,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,2995962,2995963,1
268,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,2996619,2996620,1
269,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,2996771,2996772,1
270,Agrobacterium tumefaciens,3,1,At31.1,tig00000001_polypolish,2996836,2999962,3126
271,Agrobacterium tumefaciens,3,1,At31.1,tig00000002_polypolish,1660298,1660299,1
272,Agrobacterium tumefaciens,3,1,At31.1,tig00000003_polypolish,0,11979,11979
273,Agrobacterium tumefaciens,3,1,At31.1,tig00000003_polypolish,14598,200769,186171
274,Agrobacterium tumefaciens,3,1,At31.1,tig00000003_polypolish,203388,213991,10603
275,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,0,4174,4174
276,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,4330,4331,1
277,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,4580,4581,1
278,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,4641,4642,1
279,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,4699,4701,2
280,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,4884,4885,1
281,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,5158,5159,1
282,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,5327,5328,1
283,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,5552,5554,2
284,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,5643,5644,1
285,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,5728,5729,1
286,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,7164,7165,1
287,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,7457,7458,1
288,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,78739,78749,10
289,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,225784,225785,1
290,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,226122,226123,1
291,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,226195,226196,1
292,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,226222,226223,1
293,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,226256,226257,1
294,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,226412,226413,1
295,Agrobacterium tumefaciens,3,1,At31.1,tig00000004_polypolish,226440,229503,3063
296,Agrobacterium tumefaciens,3,1,At31.1,tig00000005_polypolish,0,31114,31114
297,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1,1876,1875
298,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,61071,61083,12
299,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1231305,1231308,3
300,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1327755,1327756,1
301,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1367446,1367447,1
302,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1500584,1500585,1
303,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1500662,1500663,1
304,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1562423,1562424,1
305,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,1934609,1934610,1
306,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2184703,2184772,69
307,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2921438,2921439,1
308,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2995776,2995777,1
309,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2996732,2996733,1
310,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2997346,2997347,1
311,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2997554,2997555,1
312,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2997620,2997621,1
313,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2997946,2997947,1
314,Agrobacterium tumefaciens,3,2,At32.1,tig00000001_polypolish,2997952,2997953,1
