# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NHFMJM_01160	NHFMJM_01160	NHFMJM_01160	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01165	NHFMJM_01165	NHFMJM_01165	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01170	NHFMJM_01170	NHFMJM_01170	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01175	NHFMJM_01175	NHFMJM_01175	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01180	NHFMJM_01180	NHFMJM_01180	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01185	NHFMJM_01185	NHFMJM_01185	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01190	NHFMJM_01190	NHFMJM_01190	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01195	NHFMJM_01195	NHFMJM_01195	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01230	NHFMJM_01230	NHFMJM_01230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01490	NHFMJM_01490	NHFMJM_01490	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01515	NHFMJM_01515	NHFMJM_01515	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01520	NHFMJM_01520	NHFMJM_01520	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01540	NHFMJM_01540	NHFMJM_01540	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0
NHFMJM_01550	NHFMJM_01550	NHFMJM_01550	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0
NHFMJM_01565	NHFMJM_01565	NHFMJM_01565	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0
NHFMJM_01580	NHFMJM_01580	NHFMJM_01580	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
NHFMJM_01585	NHFMJM_01585	NHFMJM_01585	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
NHFMJM_01810	NHFMJM_01810	NHFMJM_01810	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01825	NHFMJM_01825	NHFMJM_01825	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01830	NHFMJM_01830	NHFMJM_01830	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01835	NHFMJM_01835	NHFMJM_01835	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01840	NHFMJM_01840	NHFMJM_01840	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01845	NHFMJM_01845	NHFMJM_01845	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01850	NHFMJM_01850	NHFMJM_01850	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01970	NHFMJM_01970	NHFMJM_01970	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_01980	NHFMJM_01980	NHFMJM_01980	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01995	NHFMJM_01995	NHFMJM_01995	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02215	NHFMJM_02215	NHFMJM_02215	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02220	NHFMJM_02220	NHFMJM_02220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02270	NHFMJM_02270	NHFMJM_02270	protein_coding	0	0	0	2	1	0	0	0	0	0	0	1
NHFMJM_02275	NHFMJM_02275	NHFMJM_02275	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_02285	NHFMJM_02285	NHFMJM_02285	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02305	NHFMJM_02305	NHFMJM_02305	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_02400	NHFMJM_02400	NHFMJM_02400	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_02475	NHFMJM_02475	NHFMJM_02475	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02955	NHFMJM_02955	NHFMJM_02955	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02960	NHFMJM_02960	NHFMJM_02960	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_02980	NHFMJM_02980	NHFMJM_02980	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03205	NHFMJM_03205	NHFMJM_03205	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03210	NHFMJM_03210	NHFMJM_03210	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03215	NHFMJM_03215	NHFMJM_03215	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03220	NHFMJM_03220	NHFMJM_03220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03225	NHFMJM_03225	NHFMJM_03225	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03230	NHFMJM_03230	NHFMJM_03230	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_03235	NHFMJM_03235	NHFMJM_03235	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_03240	NHFMJM_03240	NHFMJM_03240	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_03535	NHFMJM_03535	NHFMJM_03535	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_03540	NHFMJM_03540	NHFMJM_03540	protein_coding	0	0	0	3	1	0	0	0	0	0	0	2
NHFMJM_03570	NHFMJM_03570	NHFMJM_03570	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_03580	NHFMJM_03580	NHFMJM_03580	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_03670	NHFMJM_03670	NHFMJM_03670	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04165	NHFMJM_04165	NHFMJM_04165	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04170	NHFMJM_04170	NHFMJM_04170	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04175	NHFMJM_04175	NHFMJM_04175	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04180	NHFMJM_04180	NHFMJM_04180	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04195	NHFMJM_04195	NHFMJM_04195	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04360	NHFMJM_04360	NHFMJM_04360	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04365	NHFMJM_04365	NHFMJM_04365	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_04375	NHFMJM_04375	NHFMJM_04375	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_04380	NHFMJM_04380	NHFMJM_04380	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_04385	NHFMJM_04385	NHFMJM_04385	protein_coding	0	0	0	2	1	0	0	0	0	0	0	1
NHFMJM_04390	NHFMJM_04390	NHFMJM_04390	protein_coding	0	0	0	2	1	0	0	0	0	0	0	1
NHFMJM_04395	NHFMJM_04395	NHFMJM_04395	protein_coding	0	0	0	2	1	0	0	0	0	0	0	1
NHFMJM_04400	NHFMJM_04400	NHFMJM_04400	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_04415	NHFMJM_04415	NHFMJM_04415	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04785	NHFMJM_04785	NHFMJM_04785	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04790	NHFMJM_04790	NHFMJM_04790	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04795	NHFMJM_04795	NHFMJM_04795	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04800	NHFMJM_04800	NHFMJM_04800	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04805	NHFMJM_04805	NHFMJM_04805	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04810	NHFMJM_04810	NHFMJM_04810	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04815	NHFMJM_04815	NHFMJM_04815	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04820	NHFMJM_04820	NHFMJM_04820	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04825	NHFMJM_04825	NHFMJM_04825	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_04830	NHFMJM_04830	NHFMJM_04830	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04835	NHFMJM_04835	NHFMJM_04835	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_04840	NHFMJM_04840	NHFMJM_04840	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_05035	NHFMJM_05035	NHFMJM_05035	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_05040	NHFMJM_05040	NHFMJM_05040	protein_coding	0	0	1	1	1	0	0	1	0	0	0	0
NHFMJM_05045	NHFMJM_05045	NHFMJM_05045	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_05060	NHFMJM_05060	NHFMJM_05060	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_05210	NHFMJM_05210	NHFMJM_05210	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_05380	NHFMJM_05380	NHFMJM_05380	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
NHFMJM_05440	NHFMJM_05440	NHFMJM_05440	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_05505	NHFMJM_05505	NHFMJM_05505	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_05510	NHFMJM_05510	NHFMJM_05510	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_05515	NHFMJM_05515	NHFMJM_05515	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_05520	NHFMJM_05520	NHFMJM_05520	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
NHFMJM_05530	NHFMJM_05530	NHFMJM_05530	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_06345	NHFMJM_06345	NHFMJM_06345	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_06355	NHFMJM_06355	NHFMJM_06355	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_06360	NHFMJM_06360	NHFMJM_06360	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_06390	NHFMJM_06390	NHFMJM_06390	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_06395	NHFMJM_06395	NHFMJM_06395	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_06975	NHFMJM_06975	NHFMJM_06975	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_06980	NHFMJM_06980	NHFMJM_06980	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_06995	NHFMJM_06995	NHFMJM_06995	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_07000	NHFMJM_07000	NHFMJM_07000	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_07045	NHFMJM_07045	NHFMJM_07045	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_07335	NHFMJM_07335	NHFMJM_07335	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_07430	NHFMJM_07430	NHFMJM_07430	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_07870	NHFMJM_07870	NHFMJM_07870	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_08200	NHFMJM_08200	NHFMJM_08200	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_08215	NHFMJM_08215	NHFMJM_08215	protein_coding	0	0	0	3	2	0	0	0	0	0	0	1
NHFMJM_08260	NHFMJM_08260	NHFMJM_08260	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_08285	NHFMJM_08285	NHFMJM_08285	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08290	NHFMJM_08290	NHFMJM_08290	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08300	NHFMJM_08300	NHFMJM_08300	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08535	NHFMJM_08535	NHFMJM_08535	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08540	NHFMJM_08540	NHFMJM_08540	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08550	NHFMJM_08550	NHFMJM_08550	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_08575	NHFMJM_08575	NHFMJM_08575	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08795	NHFMJM_08795	NHFMJM_08795	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08805	NHFMJM_08805	NHFMJM_08805	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08820	NHFMJM_08820	NHFMJM_08820	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_08825	NHFMJM_08825	NHFMJM_08825	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_08840	NHFMJM_08840	NHFMJM_08840	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_09180	NHFMJM_09180	NHFMJM_09180	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_09640	NHFMJM_09640	NHFMJM_09640	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
NHFMJM_09660	NHFMJM_09660	NHFMJM_09660	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
NHFMJM_09675	NHFMJM_09675	NHFMJM_09675	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
NHFMJM_10280	NHFMJM_10280	NHFMJM_10280	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_10285	NHFMJM_10285	NHFMJM_10285	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_10295	NHFMJM_10295	NHFMJM_10295	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_10300	NHFMJM_10300	NHFMJM_10300	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_10305	NHFMJM_10305	NHFMJM_10305	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_10310	NHFMJM_10310	NHFMJM_10310	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11000	NHFMJM_11000	NHFMJM_11000	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_11010	NHFMJM_11010	NHFMJM_11010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11015	NHFMJM_11015	NHFMJM_11015	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_11025	NHFMJM_11025	NHFMJM_11025	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11030	NHFMJM_11030	NHFMJM_11030	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11035	NHFMJM_11035	NHFMJM_11035	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11040	NHFMJM_11040	NHFMJM_11040	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_11045	NHFMJM_11045	NHFMJM_11045	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_11050	NHFMJM_11050	NHFMJM_11050	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11175	NHFMJM_11175	NHFMJM_11175	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_11180	NHFMJM_11180	NHFMJM_11180	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_11460	NHFMJM_11460	NHFMJM_11460	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
NHFMJM_11785	NHFMJM_11785	NHFMJM_11785	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11815	NHFMJM_11815	NHFMJM_11815	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_11820	NHFMJM_11820	NHFMJM_11820	protein_coding	0	0	0	3	2	0	0	0	0	0	0	1
NHFMJM_11850	NHFMJM_11850	NHFMJM_11850	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_11880	NHFMJM_11880	NHFMJM_11880	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_11905	NHFMJM_11905	NHFMJM_11905	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12035	NHFMJM_12035	NHFMJM_12035	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_12115	NHFMJM_12115	NHFMJM_12115	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12120	NHFMJM_12120	NHFMJM_12120	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12150	NHFMJM_12150	NHFMJM_12150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12530	NHFMJM_12530	NHFMJM_12530	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12535	NHFMJM_12535	NHFMJM_12535	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12540	NHFMJM_12540	NHFMJM_12540	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
NHFMJM_12545	NHFMJM_12545	NHFMJM_12545	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12720	NHFMJM_12720	NHFMJM_12720	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12725	NHFMJM_12725	NHFMJM_12725	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12730	NHFMJM_12730	NHFMJM_12730	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12740	NHFMJM_12740	NHFMJM_12740	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12745	NHFMJM_12745	NHFMJM_12745	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12750	NHFMJM_12750	NHFMJM_12750	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12755	NHFMJM_12755	NHFMJM_12755	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12760	NHFMJM_12760	NHFMJM_12760	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_12775	NHFMJM_12775	NHFMJM_12775	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12780	NHFMJM_12780	NHFMJM_12780	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12825	NHFMJM_12825	NHFMJM_12825	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_12830	NHFMJM_12830	NHFMJM_12830	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12835	NHFMJM_12835	NHFMJM_12835	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12845	NHFMJM_12845	NHFMJM_12845	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_12860	NHFMJM_12860	NHFMJM_12860	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_13310	NHFMJM_13310	NHFMJM_13310	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_13320	NHFMJM_13320	NHFMJM_13320	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_13325	NHFMJM_13325	NHFMJM_13325	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_13365	NHFMJM_13365	NHFMJM_13365	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_13370	NHFMJM_13370	NHFMJM_13370	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_13380	NHFMJM_13380	NHFMJM_13380	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_13390	NHFMJM_13390	NHFMJM_13390	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_14965	NHFMJM_14965	NHFMJM_14965	protein_coding	0	0	0	3	0	0	0	0	0	0	0	3
NHFMJM_14985	NHFMJM_14985	NHFMJM_14985	protein_coding	0	3	0	0	0	0	0	0	0	0	3	0
NHFMJM_15055	NHFMJM_15055	NHFMJM_15055	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15080	NHFMJM_15080	NHFMJM_15080	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15135	NHFMJM_15135	NHFMJM_15135	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15155	NHFMJM_15155	NHFMJM_15155	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_15160	NHFMJM_15160	NHFMJM_15160	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15165	NHFMJM_15165	NHFMJM_15165	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15170	NHFMJM_15170	NHFMJM_15170	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15180	NHFMJM_15180	NHFMJM_15180	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15195	NHFMJM_15195	NHFMJM_15195	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_15200	NHFMJM_15200	NHFMJM_15200	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15215	NHFMJM_15215	NHFMJM_15215	protein_coding	1	0	0	0	0	1	0	0	0	0	0	0
NHFMJM_15220	NHFMJM_15220	NHFMJM_15220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_15235	NHFMJM_15235	NHFMJM_15235	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15240	NHFMJM_15240	NHFMJM_15240	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15500	NHFMJM_15500	NHFMJM_15500	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15505	NHFMJM_15505	NHFMJM_15505	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15525	NHFMJM_15525	NHFMJM_15525	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_15530	NHFMJM_15530	NHFMJM_15530	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0
NHFMJM_15535	NHFMJM_15535	NHFMJM_15535	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
NHFMJM_15545	NHFMJM_15545	NHFMJM_15545	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_15550	NHFMJM_15550	NHFMJM_15550	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_15555	NHFMJM_15555	NHFMJM_15555	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2
NHFMJM_15765	NHFMJM_15765	NHFMJM_15765	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_15790	NHFMJM_15790	NHFMJM_15790	protein_coding	0	1	0	0	0	0	0	0	0	0	1	0
NHFMJM_15800	NHFMJM_15800	NHFMJM_15800	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
